#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,Name,Type,_field,_measurement
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:13Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:14Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:15Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:16Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:17Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:18Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:19Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:20Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:21Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:22Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:23Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:24Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:25Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:26Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:27Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:28Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:29Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:30Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:31Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:32Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:33Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:34Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:35Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:36Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:37Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:53:38Z,100,BOC01T001,Analog,Quality,Tags
